number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
143,143,6/15/20,"Mahmoudzadeh, M.; Dehaene-Lambertz, G.; Fournier, M.; Kongolo, G.; Goudjil, S.; Dubois, J.; Grebe, R.; Wallois, F.",Syllabic discrimination in premature human infants prior to complete formation of cortical layers,Proceedings of the National Academy of Sciences of the United States of America,2013,C,C,Neural correlates of linguisitic and non-linguistic acoustic discrimination in preterm infants,A,A,C,A,,D,A,A,hospital,sleeping,"Newborns tested while sleeping, exposed to blocks of 20s auditory stimulation + 40s rest, blocks consisted of 5 trials with 4 repetitions of French syllables (/ba/ and/or /ga/), 3 different types of blocks: standard blocks (identical syllable - /ba/ or /ga/ only), deviant phoneme blocks (15% different syllable - /ba/ or /ga/), deviant voice blocks (15% different speaker - male or female)","A,D",A,Not reported ,NA,20,20,59 (19 standard blocks + 19 deviant phoneme blocks + 21 deviant voice blocks),108 mins ,NA,3.4 days ,0.113333333,28 to 32 weeks (gestational age at test),Newborn,newborn,4,0.333333333,"Preterm, French",preterm,td_risk,"healthy, preterm, normal auditory/neurological clinical evaluations, low risk for brain damage",Imagent ,Not reported ,4,20,22,7,1,2,0,12,12,1,0,0.454545455,0.318181818,0.045454545,0.090909091
144,144,6/15/20,"May, Lillian; Byers-Heinlein, Krista; Gervain, Judit; Werker, Janet F.",Language and the newborn brain: Does prenatal language experience shape the neonate neural response to speech?,Frontiers in Psychology,2011,C,C,Cortical responses to familiar vs. unfamiliar language in neonates,A,A,C,A,,D,A,A,hospital,sleeping,"Newborns tested during sleep or a quiet state of wakefulness, exposed to 28 blocks (4 per condition) consisting of 5 ADS sentences in a familiar language (English) or unfamiliar language (Tagalog) presented in either a forwards or backwards direction (18 to 20s each), blocks separated by 25 to 35s of silence",D ,A,28,28,18 to 20 ,19,13.93 (3.69 English forward blocks + 3.17 English backward blocks + 3.46 Tagalog forward blocks + 3.61 Tagalog backward blocks),22.4 mins ,532,1.6 days ,0.053333333,0 to 3 days ,Newborn,newborn,Not reported ,NA,None ,full-term,td,"healthy, full-term, mothers spoke at least 90% English during pregnancy and no Tagalog (monolingual)",Hitachi ,ETG 4000,8,24,30,5,2,2,1 (parental interference),20,20,1,0,0.310344828,0.172413793,0.068965517,0.068965517
145a,145,6/15/20,"McDonald, Nicole M.; Perdue, Katherine L.; Eilbott, Jeffrey; Loyal, Jaspreet; Shic, Frederick; Pelphrey, Kevin A.",Infant brain responses to social sounds: A longitudinal functional near-infrared spectroscopy study,Developmental Cognitive Neuroscience,2019,"F,C",F,Developmental changes in cortical responses to social sounds vs. non-communicative vocalizations,"A,B",A,"B,C",AV,moving,"D,F,I (vocal non-speech sounds)",A,"A,B",lab,awake,"15 blocks (10s each) in 3 conditions: human non-communicative (coughing, throat clearing, yawning, etc.), human communicative (laughter, disgust, inquiry, etc.), infant-directed speech (Japanese sound tokens), auditory stimuli paired with colorful moving non-social visual stimuli (spinning pinwheels or lava lamps) to maintain interest, blocks separated by 12s baseline periods of silence, infants tested at approximately 3mo and again at 6mo","A,D",A,15,15,10,10,Not reported ,Not reported ,150,3.15 (session 1),3.15,2.60 to 4.17 (session 1),2.60 to 4.17,non-newborn,16,0.457142857,None ,full-term,td,"full-term (37+ weeks gestation), normal birthweight (>2500g), no major vision/hearing problems, no major medical issues",Hitachi ,ETG 4000,8,24,37,0,2,0,0,35,35,1,0,0.054054054,NA,0.054054054,NA
145b,145,6/15/20,"McDonald, Nicole M.; Perdue, Katherine L.; Eilbott, Jeffrey; Loyal, Jaspreet; Shic, Frederick; Pelphrey, Kevin A.",Infant brain responses to social sounds: A longitudinal functional near-infrared spectroscopy study,Developmental Cognitive Neuroscience,2019,"F,C",F,Developmental changes in cortical responses to social sounds vs. non-communicative vocalizations,"A,B",A,"B,C",AV,moving,"D,F,I (vocal non-speech sounds)",A,"A,B",lab,awake,"15 blocks (10s each) in 3 conditions: human non-communicative (coughing, throat clearing, yawning, etc.), human communicative (laughter, disgust, inquiry, etc.), infant-directed speech (Japanese sound tokens), auditory stimuli paired with colorful moving non-social visual stimuli (spinning pinwheels or lava lamps) to maintain interest, blocks separated by 12s baseline periods of silence, infants tested at approximately 3mo and again at 6mo","A,D",A,15,15,10,10,Not reported ,Not reported ,150,6.24 (session 2),6.24,5.60 to 7.63 (session 2),5.60 to 7.63,non-newborn,16,0.533333333,None ,full-term,td,"full-term (37+ weeks gestation), normal birthweight (>2500g), no major vision/hearing problems, no major medical issues",Hitachi ,ETG 4000,14,NA,41,0,4,7,0,30,30,1,0,0.268292683,NA,0.097560976,0.170731707
146a,146,6/30/20,"Miguel, Helga O.; Gonäš_íôalves, äš_íåscar F.; Cruz, Sara; Sampaio, Adriana",Infant brain response to affective and discriminative touch: A longitudinal study using fnirs,Social Neuroscience,2019,"F, I - Tactile Processing",F,Brain response to affective and discriminative touch,A,A,D,Other,,I - Brushstrokes or pressure from wood block on arm,A,"A,B",lab,awake,"4 blocks (2 per condition - affective vs. discriminative) consisting of 8 trials each (10s tactile stimulation - brushstrokes on arm vs. pressure from wood block on arm), separated by 20s baseline rest periods, infants also watched silent movie throughout the experiment to maintain engagement","B,D ",A,4 blocks (32 trials),32,10,10,13.9 (session 1 - 6.65 affective trials + 7.25 discriminative trials),139 (session 1),320,228.77 days (session 1),7.63,7 (214 to 244 days),7.13 to 8.13,non-newborn,14,0.4,None ,mixed,td,most full-term and normal birthweight,UCL,Not reported ,6,18,49,14,0,0,0,35,35,1,0,0.285714286,0.285714286,NA,NA
146b,146,6/30/20,"Miguel, Helga O.; Gonäš_íôalves, äš_íåscar F.; Cruz, Sara; Sampaio, Adriana",Infant brain response to affective and discriminative touch: A longitudinal study using fnirs,Social Neuroscience,2019,"F, I - Tactile Processing",F,Brain response to affective and discriminative touch,A,A,D,Other,,I - Brushstrokes or pressure from wood block on arm,A,"A,B",lab,awake,"4 blocks (2 per condition - affective vs. discriminative) consisting of 8 trials each (10s tactile stimulation - brushstrokes on arm vs. pressure from wood block on arm), separated by 20s baseline rest periods, infants also watched silent movie throughout the experiment to maintain engagement","B,D ",A,4 blocks (32 trials),32,10,10,13 (session 2 - 6.68 affective trials + 6.32 discriminative trials),130 (session 2),320,387.15 days (session 2),12.91,12 (372 to 406 days),12.4 to 13.53,non-newborn,11,0.44,None ,mixed,td,most full-term and normal birthweight,UCL,Not reported ,6,18,45,11,7,2,4 (did not show up for second recording),25,25,1,0,0.444444444,0.244444444,0.155555556,0.044444444
147,147,6/15/20,"Miguel, Helga O.; Gonäš_íôalves, äš_íåscar F.; Sampaio, Adriana",Behavioral response to tactile stimuli relates to brain response to affective touch in 12äó_í‹íÈmonthäó_í‹íÈold infants,Developmental Psychobiology,2020,"F,I - Tactile Processing",F,Relationship between STS activity and behavioral responses to affective vs. non-affective touch,"A,B",A,D,Other,,I - Brushstrokes or pressure from wood block on arm),A,A,lab,awake,"4 blocks (2 per condition - affective vs. discriminative) consisting of 8 trials each (10s tactile stimulation - brushstrokes on arm vs. pressure from wood block on arm + 20s rest), also measured aversive behavioral responses to tactile stimulation using the Infant-Toddler Sensory Profile","B,D ",A,4 blocks (32 trials),32,10,10,13 (6.68 affective trials + 6.32 discriminative trials),Not reported ,320,394.33 days,13.14,12 (372 to 512 days),12.4 to 17.07,non-newborn,11,0.458333333,None ,full-term,td,Not reported ,UCL,Not reported,6,18,45,11,7,2,1 (did not complete behavioral portion for comparison),24,24,1,0,0.454545455,0.25,0.159090909,0.045454545
148,148,6/15/20,"Miguel, Helga O.; Lisboa, Isabel C.; Gonäš_íôalves, äš_íåscar F.; Sampaio, Adriana",Brain mechanisms for processing discriminative and affective touch in 7-month-old infants,Developmental Cognitive Neuroscience,2019,"F,I - Tactile Processing ",F,Brain activation from affective and discriminative touch in infants,A,A,D,Other,,I - Brushstrokes or pressure from wood block on arm),A,A,lab,awake,4 blocks (2 per condition - affective vs. discriminative) consisting of 8 trials each (10s tactile stimulation - brushstrokes on arm vs. pressure from wood block on arm + 20s rest),"B,D",A,4 blocks (32 trials),32,10,10,14 (6.7 affective trials + 7.3 discriminative trials),140,320,228.77 days,7.63,7 (214 to 244 days),7.13 to 8.13,non-newborn,14,0.4,None ,full-term,td,"full-term, normal birthweight, no reported hearing problems or neurological conditions",UCL,Not reported,6,18,49,14,0,0,0,35,35,1,0,0.285714286,0.285714286,NA,NA
149,149,6/30/20,"Minagawa, Yasuyo; Hakuno, Yoko; Kobayashi, Ai; Naoi, Nozomi; Kojima, Shozo",Infant word segmentation recruits the cerebral network of phonological short-term memory,Brain and Language,2017,"C,B",C,Developmental changes in the recruitment of the phonological short-term memory network during word segmentation,"A,B",B,C,A,,D,A,"A,D",lab,awake,"Training session consisted of 5 blocks (12s each) of continuous presentation of a Japanese word, following test session consisted of alternating target and control blocks (~12s each) of Japanese sentences with imbedded target or control/unlearned words, test blocks separated by 8 to 16s silent baseline blocks, an experimenter played with silent toys throughout to maintain engagement, behavioral experiement was reported first in paper but tested a separate group of infants for fNIRS experiment coded here (study 2)","A,B,D",A,12,12,12,12,Not reported ,Not reported ,144,"179.7 days (5-6mo group), 242.8 days (7-8mo group), 297.6 days (9-10mo group)",7.74,"5 to 6, 7 to 8, 9 to 10",5 to 10,non-newborn,29,0.420289855,"Monolingual, Japanese",full-term,td,"no hearing/developmental problems, nor significant exposure to foreign languages",Hitachi,ETG 7000,8,20,151,36,46,0,0,69,69,1,0,0.543046358,0.238410596,0.304635762,NA
150,150,6/16/20,"Minagawa-Kawai, Yasuyo; Cristia, Alejandrina; Long, Bria; Vendelin, Inga; Hakuno, Yoko; Dutat, Michel; Filippin, Luca; Cabrol, Dominique; Dupoux, Emmanuel",Insights on NIRS sensitivity from a cross-linguistic study on the emergence of phonological grammar,Frontiers in Psychology,2013,C,C,Cortical responses to native vs. non-native phonemic and phonotactic contrasts,A,A,C,A,,D,A,"A,C,D",lab,awake,"Alternating block design: 9 to 18s baseline blocks (6 to 12 /abuna/ non-word tokens) + 9s target blocks in 2 conditions: cluster target blocks (test phonotactic contrast native only to French - /abna/ vs. /abuna/) and vowel lengthening target blocks (test phonemic contrast native only to Japanese - /abuuna/ vs. /abuna/), presented between 16 and 30 blocks (half in each condition)",D,A,16 to 30,NA,9,9,Not reported ,6.5 to 11.5 mins,NA,"4:05 (Japanese - 3 to 5mo group), 7:03 (Japanese - 6 to 7mo group), 9:01 (Japanese - 8 to 9mo group), 10:29 (Japanese - 10 to 11mo group), 13:16 (Japanese - 12 to 14mo group), 14:03 (French - 14mo group)",9.97,3:04 to 14:27,3.13 to 14.9,non-newborn,31,0.360465116,"Monolingual, Japanese or French",full-term,td,"full-term, largely monolingual with no exposure to the other language",Hitachi,ETG 7000,8,20,132,39,0,5,2 (exposure to other test language),86,86,1,1,0.338461539,0.3,NA,0.038461538
151,151,6/16/20,"Minagawa-Kawai, Yasuyo; Cristiäš_äóæ, Alejandrina; Vendelin, Inga; Cabrol, Dominique; Dupoux, Emmanuel",Assessing signal-driven mechanisms in neonates: Brain responses to temporally and spectrally different sounds,Frontiers in Psychology,2011,C,C,Lateralized response to auditory stimuli varying in duration,A,A,C,A,,G,B,A,hospital,sleeping,"Most newborns tested during natural sleep, exposed to 72 trials (24 per condition) of auditory stimuli (10s each), trials presented in groups of 8 corresponding to the same condition: control condition (pure tones) or experimental conditions (5-step continuum of stimuli varying in either spectral or temporal complexity)","A,D",A,72,72,10,10,64.8,648,720,2.41 days ,0.080333333,0 to 5 days ,Newborn,newborn,14,0.482758621,French ,full-term,td,"healthy, full-term, no medical problems",UCL ,Not reported ,8,28,38,9,0,0,0,29,29,1,0,0.236842105,0.236842105,NA,NA
152,152,6/16/20,"Minagawa-Kawai, Yasuyo; Matsuoka, Sunao; Dan, Ippeita; Naoi, Nozomi; Nakamura, Katsuki; Kojima, Shozo",Prefrontal activation associated with social attachment: Facial-emotion recognition in mothers and infants,Cerebral Cortex,2009,F,F,Facial recognition/social attachment between infants and mothers vs. unfamiliar faces,A,A,B,V,moving,A,A,"A,D",lab,awake,"Mother-infant dyads tested separately using videos recorded in the lab as the visual stimuli, alternating blocks of baseline videos (neutral expression) and target videos (smiling expression), mothers saw videos of their own infant and an unfamiliar infant (30s each), infants saw videos of their own mother and an unfamiliar mother (20s each), mothers also rated emotional mood of their response to the infants","A,D",A,6,6,20,20,58,76,120,11.7,11.7,9 to 13 (infants),9 to 13,non-newborn,7,0.466666667,Japanese ,full-term,td,"no history of serious illnesses or visual deficits, typical cognitive functioning, right-handed mothers not taking prescription medication",Hitachi,ETG 7000,2,4,26,10,1,0,0,15,15,1,0,0.423076923,0.384615385,0.038461538,NA
154,154,6/16/20,"Minagawa-Kawai, Yasuyo; van der Lely, Heather; Ramus, Franck; Sato, Yutaka; Mazuka, Reiko; Dupoux, Emmanuel",Optical brain imaging reveals general auditory and language-specific processing in early infant development,Cerebral Cortex,2011,C,C,Left lateralized response to speech comparing native and non-native language stimuli along with non-speech,A,A,C,A,,"D, I - emotional voices, monkey calls, scrambled speech/other sounds",A,"A,D",lab,awake,"Infants participated in at least 3 sessions (4 blocks per condition), tested 5 conditions: native speech (Japanese), non-native speech (British English), emotional voice (human non-speech vocalizations like laughing or crying), monkey calls, and scrambled controls, blocks (10s average) consisted of 9-12 individual stimuli of the same type with 200ms ISI, separated by 8-14s silence between blocks","A,D",A,20 blocks/session,NA,10,10,at least 60,19.95 (6.65 * 3 minimum requirement of trials) ,NA,128 days ,4.27,4,4,non-newborn,4,0.333333333,"Japanese, monolingual",full-term,td,"full-term, normal birthweight",Hitachi,ETG 4000,8,24,30,17,0,1,0,12,12,1,0,0.6,0.566666667,NA,0.033333333
155,155,6/30/20,"Molavi, B.; Dumont, G. A.",Wavelet-based motion artifact removal for functional near-infrared spectroscopy,Physiological Measurement,2012,I - Motion artifacts,I - Motion artifacts,Wavelet-based motion artifact removal on newborn fNIRS data,A,A,Not reported ,Not reported,,Not reported ,Not reported ,A,lab,awake,Not reported ,D,D - (motion artifact attenuation),Not reported ,NA,Not reported ,NA,Not reported ,Not reported ,NA,1.33 days ,0.044333333,1 to 2 days ,Newborn,newborn,2,0.666666667,Canadian,full-term,td,Not reported ,Hitachi,ETG 4000,8,24,Not reported ,NA,Not reported ,Not reported ,Not reported,3,3,0,0,NA,NA,NA,NA
156,156,6/30/20,"Nagano, K.; Kusaka, T.; Okubo, K.; Kawada, K.; Namba, M.; Imai, T.; Isobe, K.; Itoh, S.; Onishi, S.",Functional imaging of the brain in infant using near infrared topography under sedated sleep,International Congress Series,2002,I - Activation during elbow/knee movements,I - Activation during elbow/knee movements,Spatiotemporal changes in sensorimotor cortex responses to passive knee and elbow movements in sedated newborn infant,A,A,D,Other,,I - Extending and flexing the infant's leg/arm,B,A,hospital,sleeping,"Newborns tested while sedated by IV thiamylal sodium, 10s baseline followerd by alternating periods of passive motor stimulation (15s) and rest periods (30s), passive motor stimulation consisted of 10 repetitions of elbow or knee joint movement at 0.7Hz frequency","B,D",A,10,10,15,15,10,Not reported ,150,5 days,0.166666667,5 days,Newborn,newborn,Not reported ,NA,Japanese,full-term,td,"healthy, full-term, no neurological problems",Hitachi,Not reported ,8,24,Not reported ,NA,Not reported ,Not reported ,Not reported,1,1,0,0,NA,NA,NA,NA
157,157,6/16/20,"Nakano, T.; Homae, F.; Watanabe, H.; Taga, G.",Anticipatory cortical activation precedes auditory events in sleeping infants,PLoS ONE,2008,"B,C",B,Infant anticipatory response to an auditory cue,A,A,C,A,,"D,G",B,C,lab,sleeping,"Infants tested during quiet sleep, 16 trials (8 per condition) consisting of 1.25s beep cues + 3.75s delay + 4.5s event female voice or no event silence + 15.5s rest, infants randomly assigned to either the experimental group (two different frequency beeps used as auditory cues, one preceded the event and one preceded the no event silence period) or control group (only one beep was used and was followed by an event or no event in equal proportions)","A,B,D",A,16,16,25,25,14.8 (7.4 cue event + 7.4 no cue event) ,370,400,"110.6 days (107.5 days for experimental group, 113.6 days for control group)",3.69,3 (99 to 123 days),3.3 to 4.1,non-newborn,"24 (12 in experimental group, 12 in control group)",0.428571429,Japanese,full-term,td,"healthy, full-term",Hitachi,ETG 7000,21,64,73,11,5,1,0,"56 (28 in experimental group, 28 in control group)",56,1,1,0.232876712,0.150684932,0.068493151,0.01369863
